миновать минуем минует миную минуете минуешь минуют
дониматься донимаемся донимаются донимаешься донимаюсь донимается донимаетесь
сатинировать сатинирую сатинируем сатинируешь сатинируете сатинируют сатинирует
осаливать осаливаете осаливаем осаливаешь осаливают осаливаю осаливает
списывать списываешь списываете списывают списываем списываю списывает
просиживать просиживаю просиживает просиживаем просиживают просиживаете просиживаешь
хохлить хохлите хохлишь хохлит хохлю хохлят хохлим
перехлопываться перехлопываешься перехлопываетесь перехлопываемся перехлопываюсь перехлопывается перехлопываются
примыкать примыкаю примыкают примыкаем примыкаете примыкаешь примыкает
досасываться досасываемся досасываются досасываетесь досасываюсь досасывается досасываешься
подтачиваться подтачиваюсь подтачивается подтачиваешься подтачиваются подтачиваетесь подтачиваемся
перестилать перестилаете перестилает перестилаем перестилают перестилаю перестилаешь
нарезываться нарезываетесь нарезываешься нарезываются нарезываюсь нарезывается нарезываемся
натруживаться натруживаются натруживаешься натруживается натруживаемся натруживаетесь натруживаюсь
выплясываться выплясываетесь выплясываюсь выплясываемся выплясываются выплясываешься выплясывается
захаркиваться захаркиваешься захаркивается захаркиваетесь захаркиваюсь захаркиваемся захаркиваются
оттираться оттираюсь оттираетесь оттираешься оттираемся оттирается оттираются
простужаться простужаемся простужаетесь простужается простужаются простужаешься простужаюсь
отчаливать отчаливаю отчаливает отчаливаем отчаливаешь отчаливаете отчаливают
пронумеровывать пронумеровываем пронумеровываешь пронумеровывает пронумеровываете пронумеровываю пронумеровывают
потеть потеет потеем потеют потеете потеешь потею
шмонять шмоняешь шмоняете шмоняют шмоняем шмоняет шмоняю
запотевать запотевает запотеваете запотеваю запотеваем запотевают запотеваешь
расцвечиваться расцвечивается расцвечиваешься расцвечиваются расцвечиваюсь расцвечиваетесь расцвечиваемся
усыплять усыпляют усыпляете усыпляем усыпляешь усыпляет усыпляю
перепиваться перепиваюсь перепиваетесь перепиваемся перепиваются перепиваешься перепивается
наращивать наращивают наращиваем наращивает наращиваю наращиваете наращиваешь
морализировать морализирую морализируем морализирует морализируешь морализируете морализируют
подпускать подпускает подпускают подпускаю подпускаешь подпускаете подпускаем
перебазироваться перебазируетесь перебазируешься перебазируемся перебазируюсь перебазируется перебазируются
оглоушиваться оглоушиваются оглоушивается оглоушиваешься оглоушиваетесь оглоушиваюсь оглоушиваемся
взрослить взрослишь взрослит взрослите взрослим взрослят взрослю
саднить садним садню садните саднишь саднят саднит
совершать совершаем совершают совершаю совершает совершаешь совершаете
накутываться накутываешься накутываетесь накутываюсь накутываются накутывается накутываемся
помахивать помахиваю помахиваем помахивают помахиваешь помахиваете помахивает
матовать матуют матуем матую матует матуете матуешь
